Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
1.000000e-05,8.323704e+00,7.208356e+00,2.273818e+01,2.162507e+01,3.715266e+01,3.604178e+01,1.223194e+01,1.111659e+01,3.446288e+01,3.334976e+01,5.669382e+01,5.558294e+01,5.568201e+00,4.452853e+00,1.447167e+01,1.335856e+01,2.337515e+01,2.226426e+01
1.014270e-05,8.265707e+00,7.158233e+00,2.257996e+01,2.147470e+01,3.689421e+01,3.579117e+01,1.214698e+01,1.103951e+01,3.422378e+01,3.311853e+01,5.630059e+01,5.519755e+01,5.529454e+00,4.421979e+00,1.437119e+01,1.326594e+01,2.321294e+01,2.210990e+01
1.028744e-05,8.207768e+00,7.108112e+00,2.242179e+01,2.132434e+01,3.663581e+01,3.554056e+01,1.206209e+01,1.096244e+01,3.398476e+01,3.288731e+01,5.590743e+01,5.481218e+01,5.490762e+00,4.391107e+00,1.427077e+01,1.317332e+01,2.305079e+01,2.195553e+01
1.043424e-05,8.149882e+00,7.057989e+00,2.226367e+01,2.117397e+01,3.637747e+01,3.528995e+01,1.197726e+01,1.088536e+01,3.374580e+01,3.265609e+01,5.551434e+01,5.442681e+01,5.452127e+00,4.360234e+00,1.417041e+01,1.308070e+01,2.288869e+01,2.180117e+01
1.058314e-05,8.092052e+00,7.007867e+00,2.210562e+01,2.102360e+01,3.611918e+01,3.503934e+01,1.189247e+01,1.080829e+01,3.350688e+01,3.242487e+01,5.512129e+01,5.404145e+01,5.413545e+00,4.329360e+00,1.407009e+01,1.298808e+01,2.272664e+01,2.164680e+01
1.073416e-05,8.034276e+00,6.957745e+00,2.194761e+01,2.087324e+01,3.586095e+01,3.478873e+01,1.180774e+01,1.073121e+01,3.326801e+01,3.219363e+01,5.472827e+01,5.365605e+01,5.375018e+00,4.298488e+00,1.396984e+01,1.289546e+01,2.256466e+01,2.149244e+01
1.088733e-05,7.977884e+00,6.908953e+00,2.179365e+01,2.072686e+01,3.560942e+01,3.454477e+01,1.172307e+01,1.065414e+01,3.302920e+01,3.196241e+01,5.433534e+01,5.327069e+01,5.336545e+00,4.267614e+00,1.386963e+01,1.280284e+01,2.240272e+01,2.133807e+01
1.104270e-05,7.921983e+00,6.860598e+00,2.164105e+01,2.058179e+01,3.536013e+01,3.430299e+01,1.164170e+01,1.058031e+01,3.280020e+01,3.174094e+01,5.395870e+01,5.290157e+01,5.299429e+00,4.238044e+00,1.377339e+01,1.271413e+01,2.224736e+01,2.119022e+01
1.120028e-05,7.866135e+00,6.812243e+00,2.148851e+01,2.043673e+01,3.511089e+01,3.406122e+01,1.156081e+01,1.050692e+01,3.257253e+01,3.152075e+01,5.358425e+01,5.253458e+01,5.262535e+00,4.208643e+00,1.367771e+01,1.262593e+01,2.209289e+01,2.104321e+01
1.136010e-05,7.810341e+00,6.763889e+00,2.133602e+01,2.029167e+01,3.486171e+01,3.381944e+01,1.147997e+01,1.043352e+01,3.234491e+01,3.130055e+01,5.320985e+01,5.216759e+01,5.225695e+00,4.179243e+00,1.358209e+01,1.253773e+01,2.193848e+01,2.089621e+01
