Energy_eV,Li6_barn,Li7_barn,B10_barn,Gd155_barn,Gd157_barn,H1_barn,O16_barn
1.000000e-05,4.720599e+04,2.284000e+00,1.933028e+05,2.464763e+06,9.696225e+06,1.669994e+01,9.556830e-03
1.014270e-05,4.687869e+04,2.268164e+00,1.919625e+05,2.447626e+06,9.628802e+06,1.658415e+01,9.490570e-03
1.028744e-05,4.655140e+04,2.252327e+00,1.906223e+05,2.430490e+06,9.561380e+06,1.646837e+01,9.424309e-03
1.043424e-05,4.622411e+04,2.236491e+00,1.892821e+05,2.413353e+06,9.493957e+06,1.635258e+01,9.358049e-03
1.058314e-05,4.589681e+04,2.220654e+00,1.879419e+05,2.396217e+06,9.426534e+06,1.623680e+01,9.291788e-03
1.073416e-05,4.556952e+04,2.204818e+00,1.866016e+05,2.379080e+06,9.359112e+06,1.612101e+01,9.225528e-03
1.088733e-05,4.524222e+04,2.188981e+00,1.852614e+05,2.362398e+06,9.293478e+06,1.600523e+01,9.159267e-03
1.104270e-05,4.492874e+04,2.173813e+00,1.839777e+05,2.345866e+06,9.228432e+06,1.589433e+01,9.095802e-03
1.120028e-05,4.461705e+04,2.158732e+00,1.827014e+05,2.329333e+06,9.163387e+06,1.578406e+01,9.032702e-03
1.136010e-05,4.430537e+04,2.143651e+00,1.814251e+05,2.312801e+06,9.098342e+06,1.567380e+01,8.969601e-03
1.152221e-05,4.399368e+04,2.128570e+00,1.801488e+05,2.296269e+06,9.033297e+06,1.556353e+01,8.906501e-03
1.168664e-05,4.368200e+04,2.113489e+00,1.788724e+05,2.280210e+06,8.970113e+06,1.545327e+01,8.843401e-03
1.185340e-05,4.337032e+04,2.098408e+00,1.775961e+05,2.264222e+06,8.907211e+06,1.534300e+01,8.780300e-03
1.202255e-05,4.305863e+04,2.083326e+00,1.763198e+05,2.248235e+06,8.844310e+06,1.523274e+01,8.717200e-03
1.219411e-05,4.274987e+04,2.068387e+00,1.750555e+05,2.232248e+06,8.781408e+06,1.512351e+01,8.654692e-03
1.236813e-05,4.245342e+04,2.054043e+00,1.738415e+05,2.216409e+06,8.719091e+06,1.501863e+01,8.594674e-03
1.254462e-05,4.215696e+04,2.039698e+00,1.726276e+05,2.200916e+06,8.658133e+06,1.491376e+01,8.534657e-03
1.272363e-05,4.186050e+04,2.025354e+00,1.714136e+05,2.185422e+06,8.597175e+06,1.480888e+01,8.474639e-03
1.290520e-05,4.156404e+04,2.011010e+00,1.701996e+05,2.169929e+06,8.536218e+06,1.470400e+01,8.414621e-03
1.308935e-05,4.126759e+04,1.996665e+00,1.689857e+05,2.154441e+06,8.475280e+06,1.459913e+01,8.354604e-03
1.327614e-05,4.097113e+04,1.982321e+00,1.677717e+05,2.139398e+06,8.416096e+06,1.449425e+01,8.294586e-03
1.346559e-05,4.068519e+04,1.968486e+00,1.666009e+05,2.124355e+06,8.356912e+06,1.439310e+01,8.236699e-03
1.365775e-05,4.040268e+04,1.954816e+00,1.654440e+05,2.109313e+06,8.297729e+06,1.429315e+01,8.179504e-03
1.385264e-05,4.012017e+04,1.941147e+00,1.642872e+05,2.094270e+06,8.238545e+06,1.419321e+01,8.122309e-03
1.405032e-05,3.983766e+04,1.927477e+00,1.631303e+05,2.079628e+06,8.180935e+06,1.409327e+01,8.065115e-03
1.425082e-05,3.955514e+04,1.913808e+00,1.619735e+05,2.064999e+06,8.123379e+06,1.399332e+01,8.007920e-03
1.445418e-05,3.927263e+04,1.900138e+00,1.608166e+05,2.050370e+06,8.065823e+06,1.389338e+01,7.950725e-03
1.466044e-05,3.899012e+04,1.886469e+00,1.596598e+05,2.035819e+06,8.008576e+06,1.379344e+01,7.893530e-03
1.486964e-05,3.871592e+04,1.873202e+00,1.585370e+05,2.021744e+06,7.953198e+06,1.369644e+01,7.838020e-03
1.508183e-05,3.844761e+04,1.860219e+00,1.574383e+05,2.007669e+06,7.897819e+06,1.360152e+01,7.783701e-03
1.529705e-05,3.817930e+04,1.847237e+00,1.563396e+05,1.993594e+06,7.842441e+06,1.350660e+01,7.729381e-03
1.551534e-05,3.791099e+04,1.834255e+00,1.552409e+05,1.979518e+06,7.787063e+06,1.341168e+01,7.675062e-03
1.573675e-05,3.764268e+04,1.821272e+00,1.541422e+05,1.965443e+06,7.731684e+06,1.331676e+01,7.620743e-03
1.596131e-05,3.737437e+04,1.808290e+00,1.530435e+05,1.951368e+06,7.676306e+06,1.322184e+01,7.566423e-03
1.618908e-05,3.710606e+04,1.795307e+00,1.519448e+05,1.937334e+06,7.621093e+06,1.312692e+01,7.512104e-03
1.642010e-05,3.683998e+04,1.782433e+00,1.508552e+05,1.923917e+06,7.568305e+06,1.303279e+01,7.458236e-03
1.665441e-05,3.658324e+04,1.770011e+00,1.498039e+05,1.910500e+06,7.515517e+06,1.294196e+01,7.406260e-03
1.689207e-05,3.632650e+04,1.757589e+00,1.487526e+05,1.897083e+06,7.462729e+06,1.285113e+01,7.354284e-03
1.713312e-05,3.606977e+04,1.745166e+00,1.477013e+05,1.883666e+06,7.409941e+06,1.276031e+01,7.302307e-03
1.737761e-05,3.581303e+04,1.732744e+00,1.466500e+05,1.870249e+06,7.357153e+06,1.266948e+01,7.250331e-03
1.762559e-05,3.555780e+04,1.720395e+00,1.456049e+05,1.856832e+06,7.304365e+06,1.257919e+01,7.198660e-03
1.787711e-05,3.531095e+04,1.708451e+00,1.445941e+05,1.843777e+06,7.253001e+06,1.249186e+01,7.148685e-03
1.813221e-05,3.506410e+04,1.696507e+00,1.435832e+05,1.830933e+06,7.202471e+06,1.240453e+01,7.098710e-03
1.839096e-05,3.481725e+04,1.684563e+00,1.425724e+05,1.818090e+06,7.151941e+06,1.231720e+01,7.048735e-03
1.865340e-05,3.457039e+04,1.672619e+00,1.415616e+05,1.805247e+06,7.101411e+06,1.222988e+01,6.998760e-03
1.891959e-05,3.432354e+04,1.660675e+00,1.405507e+05,1.792404e+06,7.050881e+06,1.214255e+01,6.948785e-03
1.918957e-05,3.407778e+04,1.648783e+00,1.395443e+05,1.779560e+06,7.000351e+06,1.205560e+01,6.899029e-03
1.946340e-05,3.384131e+04,1.637341e+00,1.385760e+05,1.767089e+06,6.951284e+06,1.197195e+01,6.851156e-03
